uf,cep,cnpj,porte,bairro,numero,municipio,logradouro,cnae_fiscal,complemento,razao_social,nome_fantasia,capital_social,cnae_fiscal_descricao,descricao_situacao_cadastral,descricao_tipo_de_logradouro
MG,38446146,'60039438000105,MICRO EMPRESA,AMORIM,,ARAGUARI,,4520005,,60.039.438 VICENTE JACINTO DE MORAIS,,1000,"Serviços de lavagem, lubrificação e polimento de veículos automotores",ATIVA,
MG,38412330,'62893761000177,MICRO EMPRESA,JARDIM HOLANDA,1357,UBERLANDIA,JARDIM HOLANDA,4530703,,V1 AUTO PARTES LTDA,,20000,Comércio a varejo de peças e acessórios novos para veículos automotores,ATIVA,ALAMEDA
MG,38400487,'54646324000120,MICRO EMPRESA,OSVALDO REZENDE,250,UBERLANDIA,ANTONIO THOMAZ DE REZENDE,4520001,,AJDIESEL SERVICOS E PECAS LTDA,,20000,Serviços de manutenção e reparação mecânica de veículos automotores,ATIVA,RUA
MG,38743042,'39833155000144,MICRO EMPRESA,SAO BENEDITO,,PATROCINIO,,4530703,,ANA PAULA SILVEIRA,TRANSMISSAO E CIA,150000,Comércio a varejo de peças e acessórios novos para veículos automotores,ATIVA,
MG,38400694,'25206778000182,MICRO EMPRESA,NOSSA SENHORA APARECIDA,,UBERLANDIA,,4520005,,ARTHUR NOGUEIRA BATISTA 11275458688,,3000,"Serviços de lavagem, lubrificação e polimento de veículos automotores",ATIVA,
MG,38770000,'21403268000144,MICRO EMPRESA,AEROPORTO,2410,JOAO PINHEIRO,OLIMPIO MARTINS DE ARAUJO,4530703,,FORTCAR VEICULOS PECAS E SERVICOS LTDA,FORTCAR AUTO CENTER,80000,Comércio a varejo de peças e acessórios novos para veículos automotores,ATIVA,RUA
MG,38190000,'57712134000152,MICRO EMPRESA,RESIDENCIAL SKAFF,208,SACRAMENTO,DOMINGOS MAGNABOSCO,4520001,,AUTO MECANICA XAVIER SACRAMENTO LTDA,AUTO MECANICA XAVIER,25000,Serviços de manutenção e reparação mecânica de veículos automotores,ATIVA,AVENIDA
MG,37900222,'08314000000178,MICRO EMPRESA,JARDIM BELA VISTA,259,PASSOS,CEARA,4530701,,AUTO PECAS RIBEIRO LTDA,AUTO PECAS RIBEIRO,5000,Comércio por atacado de peças e acessórios novos para veículos automotores,ATIVA,RUA
MG,38400448,'10158356011146,DEMAIS,MARTINS,1691,UBERLANDIA,VASCONCELOS COSTA,4530705,QUADRA24,CPX DISTRIBUIDORA S.A.,PNEUSTORE.COM.BR,528128320,Comércio a varejo de pneumáticos e câmaras-de-ar,ATIVA,AVENIDA
MG,38760000,'52640415000123,MICRO EMPRESA,BELA VISTA,,SERRA DO SALITRE,,4530703,,CRISTIANO MACHADO RIBEIRO,REVISA CAR,30000,Comércio a varejo de peças e acessórios novos para veículos automotores,ATIVA,
